"","Quarter","Week","WeatherRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"1","3","1","0",9.289,5.645,0.009,3.288,0.347
"2","3","1","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"3","3","1","2",11.82,9.28,0.02,1.93,0.59
"4","3","1","3",4.95,2.315,0.005,2.415,0.215
"5","3","2","0",9.289,5.645,0.009,3.288,0.347
"6","3","2","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"7","3","2","2",11.82,9.28,0.02,1.93,0.59
"8","3","2","3",4.95,2.315,0.005,2.415,0.215
"9","3","3","0",9.289,5.645,0.009,3.288,0.347
"10","3","3","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"11","3","3","2",11.82,9.28,0.02,1.93,0.59
"12","3","3","3",4.95,2.315,0.005,2.415,0.215
"13","3","4","0",9.289,5.645,0.009,3.288,0.347
"14","3","4","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"15","3","4","2",11.82,9.28,0.02,1.93,0.59
"16","3","4","3",4.95,2.315,0.005,2.415,0.215
"17","3","5","0",9.289,5.645,0.009,3.288,0.347
"18","3","5","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"19","3","5","2",11.82,9.28,0.02,1.93,0.59
"20","3","5","3",4.95,2.315,0.005,2.415,0.215
"21","3","6","0",9.289,5.645,0.009,3.288,0.347
"22","3","6","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"23","3","6","2",11.82,9.28,0.02,1.93,0.59
"24","3","6","3",4.95,2.315,0.005,2.415,0.215
"25","3","7","0",9.289,5.645,0.009,3.288,0.347
"26","3","7","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"27","3","7","2",11.82,9.28,0.02,1.93,0.59
"28","3","7","3",4.95,2.315,0.005,2.415,0.215
"29","3","8","0",9.289,5.645,0.009,3.288,0.347
"30","3","8","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"31","3","8","2",11.82,9.28,0.02,1.93,0.59
"32","3","8","3",4.95,2.315,0.005,2.415,0.215
"33","3","9","0",9.289,5.645,0.009,3.288,0.347
"34","3","9","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"35","3","9","2",11.82,9.28,0.02,1.93,0.59
"36","3","9","3",4.95,2.315,0.005,2.415,0.215
"37","3","10","0",9.289,5.645,0.009,3.288,0.347
"38","3","10","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"39","3","10","2",11.82,9.28,0.02,1.93,0.59
"40","3","10","3",4.95,2.315,0.005,2.415,0.215
"41","3","11","0",9.289,5.645,0.009,3.288,0.347
"42","3","11","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"43","3","11","2",11.82,9.28,0.02,1.93,0.59
"44","3","11","3",4.95,2.315,0.005,2.415,0.215
"45","3","12","0",9.289,5.645,0.009,3.288,0.347
"46","3","12","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"47","3","12","2",11.82,9.28,0.02,1.93,0.59
"48","3","12","3",4.95,2.315,0.005,2.415,0.215
"49","3","13","0",9.289,5.645,0.009,3.288,0.347
"50","3","13","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"51","3","13","2",11.82,9.28,0.02,1.93,0.59
"52","3","13","3",4.95,2.315,0.005,2.415,0.215
"53","3","14","0",9.289,5.645,0.009,3.288,0.347
"54","3","14","1",7.42692307692308,4.34538461538462,0.00692307692307692,2.76461538461538,0.31
"55","3","14","2",11.82,9.28,0.02,1.93,0.59
"56","3","14","3",4.95,2.315,0.005,2.415,0.215
"57","4","15","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"58","4","15","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"59","4","15","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"60","4","15","3",1.18,0.24,0,0.86,0.08
"61","4","16","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"62","4","16","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"63","4","16","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"64","4","16","3",1.18,0.24,0,0.86,0.08
"65","4","17","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"66","4","17","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"67","4","17","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"68","4","17","3",1.18,0.24,0,0.86,0.08
"69","4","18","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"70","4","18","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"71","4","18","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"72","4","18","3",1.18,0.24,0,0.86,0.08
"73","4","19","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"74","4","19","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"75","4","19","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"76","4","19","3",1.18,0.24,0,0.86,0.08
"77","4","20","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"78","4","20","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"79","4","20","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"80","4","20","3",1.18,0.24,0,0.86,0.08
"81","4","21","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"82","4","21","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"83","4","21","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"84","4","21","3",1.18,0.24,0,0.86,0.08
"85","4","22","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"86","4","22","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"87","4","22","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"88","4","22","3",1.18,0.24,0,0.86,0.08
"89","4","23","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"90","4","23","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"91","4","23","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"92","4","23","3",1.18,0.24,0,0.86,0.08
"93","4","24","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"94","4","24","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"95","4","24","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"96","4","24","3",1.18,0.24,0,0.86,0.08
"97","4","25","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"98","4","25","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"99","4","25","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"100","4","25","3",1.18,0.24,0,0.86,0.08
"101","4","26","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"102","4","26","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"103","4","26","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"104","4","26","3",1.18,0.24,0,0.86,0.08
"105","4","27","0",3.92426537412905,1.82520448348985,0.0042411390487731,1.90820963344441,0.186610118146016
"106","4","27","1",3.07428571428571,1.32285714285714,0.00428571428571429,1.61142857142857,0.135714285714286
"107","4","27","2",1.64909090909091,0.649090909090909,0.00909090909090909,0.901818181818182,0.0890909090909091
"108","4","27","3",1.18,0.24,0,0.86,0.08
"109","1","28","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"110","1","28","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"111","1","28","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"112","1","28","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"113","1","29","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"114","1","29","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"115","1","29","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"116","1","29","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"117","1","30","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"118","1","30","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"119","1","30","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"120","1","30","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"121","1","31","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"122","1","31","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"123","1","31","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"124","1","31","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"125","1","32","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"126","1","32","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"127","1","32","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"128","1","32","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"129","1","33","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"130","1","33","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"131","1","33","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"132","1","33","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"133","1","34","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"134","1","34","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"135","1","34","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"136","1","34","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"137","1","35","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"138","1","35","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"139","1","35","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"140","1","35","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"141","1","36","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"142","1","36","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"143","1","36","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"144","1","36","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"145","1","37","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"146","1","37","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"147","1","37","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"148","1","37","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"149","1","38","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"150","1","38","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"151","1","38","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"152","1","38","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"153","1","39","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"154","1","39","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"155","1","39","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"156","1","39","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
"157","1","40","0",2.79346153846154,1.69692307692308,0.00576923076923077,1.09076923076923,0
"158","1","40","1",1.47428571428571,0.602857142857143,0.00666666666666667,0.864761904761905,0
"159","1","40","2",0.891111111111111,0.257777777777778,0,0.633333333333333,0
"160","1","40","3",0.508888888888889,0.146666666666667,0,0.362222222222222,0
